id,ptype,v0,v1,v2,v3,v4,v5
19656,p,2,/customer/customer,GET,,,
19654,p,2,/customer/customer,POST,,,
19653,p,2,/customer/customer,PUT,,,
19657,p,2,/customer/customerList,GET,,,
19647,p,2,/fileUpload/deleteFile,POST,,,
19648,p,2,/fileUpload/editFileName,POST,,,
19649,p,2,/fileUpload/getFileList,POST,,,
19646,p,2,/fileUpload/upload,POST,,,
19643,p,2,/fileUploadAndDownload/breakpointContinue,POST,,,
19644,p,2,/fileUploadAndDownload/breakpointContinueFinish,POST,,,
19642,p,2,/fileUploadAndDownload/findFile,GET,,,
19645,p,2,/fileUploadAndDownload/removeChunk,POST,,,
19605,p,2,/jwt/jsonInBlacklist,POST,,,
19633,p,2,/menu/addBaseMenu,POST,,,
19641,p,2,/menu/addMenuAuthority,POST,,,
19635,p,2,/menu/deleteBaseMenu,POST,,,
19637,p,2,/menu/getBaseMenuById,POST,,,
19639,p,2,/menu/getBaseMenuTree,POST,,,
19634,p,2,/menu/getMenu,POST,,,
19640,p,2,/menu/getMenuAuthority,POST,,,
19638,p,2,/menu/getMenuList,POST,,,
19636,p,2,/menu/updateBaseMenu,POST,,,
19674,p,2,/simpleUploader/checkFileMd5,GET,,,
19675,p,2,/simpleUploader/mergeFileMd5,GET,,,
19673,p,2,/simpleUploader/upload,POST,,,
19663,p,2,/swaDict/createSwaDict,POST,,,
19664,p,2,/swaDict/deleteSwaDict,DELETE,,,
19666,p,2,/swaDict/findSwaDict,GET,,,
19667,p,2,/swaDict/getSwaDictList,GET,,,
19665,p,2,/swaDict/updateSwaDict,PUT,,,
19659,p,2,/swaDictail/createSwaDicttail,POST,,,
19660,p,2,/swaDictail/deleteSwaDicttail,DELETE,,,
19661,p,2,/swaDictail/findSwaDicttail,GET,,,
19662,p,2,/swaDictail/getSwaDicttailList,GET,,,
19658,p,2,/swaDictail/updateSwaDicttail,PUT,,,
19668,p,2,/swaRecord/createSwaRecord,POST,,,
19671,p,2,/swaRecord/deleteSwaRecord,DELETE,,,
19672,p,2,/swaRecord/deleteSwaRecordByIds,DELETE,,,
19669,p,2,/swaRecord/findSwaRecord,GET,,,
19670,p,2,/swaRecord/getSwaRecordList,GET,,,
19623,p,2,/swaRole/copyRole,POST,,,
19624,p,2,/swaRole/createRole,POST,,,
19625,p,2,/swaRole/deleteRole,POST,,,
19627,p,2,/swaRole/getRoleList,POST,,,
19630,p,2,/swaRole/getSubRoles,POST,,,
19629,p,2,/swaRole/setRoleMenus,POST,,,
19628,p,2,/swaRole/setSubRoles,POST,,,
19626,p,2,/swaRole/updateRole,PUT,,,
19650,p,2,/system/getServerInfo,POST,,,
19651,p,2,/system/getSystemConfig,POST,,,
19652,p,2,/system/setSystemConfig,POST,,,
19607,p,2,/user/admin_register,POST,,,
19613,p,2,/user/changePassword,POST,,,
19606,p,2,/user/deleteUser,DELETE,,,
19611,p,2,/user/getUserInfo,GET,,,
19608,p,2,/user/getUserList,POST,,,
19615,p,2,/user/resetPassword,POST,,,
19610,p,2,/user/setSelfInfo,PUT,,,
19612,p,2,/user/setUserAuthorities,POST,,,
19614,p,2,/user/setUserAuthority,POST,,,
19609,p,2,/user/setUserInfo,PUT,,,
